fishID,exPlate,exConc,broodID,pop,year,age,dilPlate,dilWell,dilConc,action,subPlate,subWell,volDil,volWater,volExt,volWater
71372,TH-Ext-2023-010,169.19,100_2020_71372_M,QUALICUM_RIVER,2020,4,P1,A1,22.12,as-is,P1,A1,10,0,,
71192,TH-Ext-2023-010,165.32,100_2020_71192_M,QUALICUM_RIVER,2020,4,P1,B1,27.23,as-is,P1,B1,10,0,,
71535,TH-Ext-2023-010,146.49,100_2020_71535_M,QUALICUM_RIVER,2020,3,P1,C1,22.97,as-is,P1,C1,10,0,,
219688,TH-Ext-2023-011,144.73,100_2021_219688_M,QUALICUM_RIVER,2021,4,P1,D1,20.93,as-is,P1,D1,10,0,,
71021,TH-Ext-2023-010,141.89,100_2020_71021_M,QUALICUM_RIVER,2020,3,P1,E1,26.25,as-is,P1,E1,10,0,,
71553,TH-Ext-2023-010,138.57,100_2020_71553_M,QUALICUM_RIVER,2020,3,P1,F1,22.12,as-is,P1,F1,10,0,,
93756,TH-Ext-2023-009,136.92,9105_2020_93756_M,PUNTLEDGE_RIVER_fall,2020,3,P1,G1,27.07,as-is,P1,G1,10,0,,
93892,TH-Ext-2023-009,136.38,9105_2020_93892_M,PUNTLEDGE_RIVER_fall,2020,3,P1,H1,24.08,as-is,P1,H1,10,0,,
71288,TH-Ext-2023-010,135.75,100_2020_71288_M,QUALICUM_RIVER,2020,2,P1,A2,19.74,as-is,P1,A2,10,0,,
240213,TH-Ext-2023-011,134.4,9105_2021_240213_M,PUNTLEDGE_RIVER_fall,2021,4,P1,B2,23.41,as-is,P1,B2,10,0,,
240229,TH-Ext-2023-011,132.48,9105_2021_240229_M,PUNTLEDGE_RIVER_fall,2021,2,P1,C2,21.41,as-is,P1,C2,10,0,,
219218,TH-Ext-2023-011,132.02,100_2021_219218_M,QUALICUM_RIVER,2021,4,P1,D2,24.48,as-is,P1,D2,10,0,,
219398,TH-Ext-2023-011,131.21,100_2021_219398_M,QUALICUM_RIVER,2021,4,P1,E2,22.75,as-is,P1,E2,10,0,,
240220,TH-Ext-2023-011,131.14,9105_2021_240220_M,PUNTLEDGE_RIVER_fall,2021,4,P1,F2,23.12,as-is,P1,F2,10,0,,
223764,TH-Ext-2023-010,129.86,9107_2021_223764_M,CHILLIWACK_RIVER_fall,2021,3,P1,G2,20.65,as-is,P1,G2,10,0,,
5866,TH-Ext-2023-006,129.65,100_2018_5866_M,QUALICUM_RIVER,2018,4,P1,H2,20.52,as-is,P1,H2,10,0,,
219416,TH-Ext-2023-011,129.33,100_2021_219416_M,QUALICUM_RIVER,2021,3,P1,B3,20.02,as-is,P1,A3,10,0,,
223361,TH-Ext-2023-010,127.98,9107_2021_223361_M,CHILLIWACK_RIVER_fall,2021,3,P1,C3,23.3,as-is,P1,B3,10,0,,
240248,TH-Ext-2023-011,126.87,9105_2021_240248_M,PUNTLEDGE_RIVER_fall,2021,4,P1,D3,21.96,as-is,P1,C3,10,0,,
240170,TH-Ext-2023-011,125.92,9105_2021_240170_M,PUNTLEDGE_RIVER_fall,2021,4,P1,E3,26.8,as-is,P1,D3,10,0,,
71276,TH-Ext-2023-010,124.73,100_2020_71276_M,QUALICUM_RIVER,2020,3,P1,F3,25.31,as-is,P1,E3,10,0,,
54344,TH-Ext-2023-005,124.42,9105_2017_54344_M,PUNTLEDGE_RIVER_fall,2017,2,P1,G3,22.2,as-is,P1,F3,10,0,,
71421,TH-Ext-2023-010,124.06,100_2020_71421_M,QUALICUM_RIVER,2020,3,P1,H3,25.51,as-is,P1,G3,10,0,,
1233,TH-Ext-2023-006,123.47,9105_2018_1233_M,PUNTLEDGE_RIVER_fall,2018,2,P1,B4,20.48,as-is,P1,H3,10,0,,
1290,TH-Ext-2023-006,122.84,9105_2018_1290_M,PUNTLEDGE_RIVER_fall,2018,4,P1,C4,19.48,as-is,P1,A4,10,0,,
15468,TH-Ext-2023-008,122.71,100_2019_15468_M,QUALICUM_RIVER,2019,2,P1,D4,21.18,as-is,P1,B4,10,0,,
240203,TH-Ext-2023-011,121.15,9105_2021_240203_M,PUNTLEDGE_RIVER_fall,2021,2,P1,E4,23.99,as-is,P1,C4,10,0,,
240133,TH-Ext-2023-011,121.12,9105_2021_240133_M,PUNTLEDGE_RIVER_fall,2021,3,P1,F4,23.9,as-is,P1,D4,10,0,,
70971,TH-Ext-2023-010,120.7,100_2020_70971_M,QUALICUM_RIVER,2020,3,P1,G4,25.07,as-is,P1,E4,10,0,,
219455,TH-Ext-2023-011,120.52,100_2021_219455_M,QUALICUM_RIVER,2021,4,P1,H4,22.43,as-is,P1,F4,10,0,,
70949,TH-Ext-2023-010,120.11,100_2020_70949_M,QUALICUM_RIVER,2020,4,P1,B5,27.13,as-is,P1,G4,10,0,,
219633,TH-Ext-2023-011,119.43,100_2021_219633_M,QUALICUM_RIVER,2021,4,P1,C5,22.64,as-is,P1,H4,10,0,,
223801,TH-Ext-2023-010,119,9107_2021_223801_M,CHILLIWACK_RIVER_fall,2021,3,P1,E5,22.53,as-is,P1,A5,10,0,,
7424,TH-Ext-2023-004,118.41,100_2016_7424_M,QUALICUM_RIVER,2016,2,P1,F5,23.18,as-is,P1,B5,10,0,,
240233,TH-Ext-2023-011,117.1,9105_2021_240233_M,PUNTLEDGE_RIVER_fall,2021,2,P1,G5,24.47,as-is,P1,C5,10,0,,
240155,TH-Ext-2023-011,116.71,9105_2021_240155_M,PUNTLEDGE_RIVER_fall,2021,3,P1,H5,25.17,as-is,P1,D5,10,0,,
5781,TH-Ext-2023-006,116.67,100_2018_5781_M,QUALICUM_RIVER,2018,4,P1,A6,20.01,as-is,P1,E5,10,0,,
71564,TH-Ext-2023-010,116.53,100_2020_71564_M,QUALICUM_RIVER,2020,4,P1,B6,20.22,as-is,P1,F5,10,0,,
240207,TH-Ext-2023-011,116.26,9105_2021_240207_M,PUNTLEDGE_RIVER_fall,2021,2,P1,C6,26.32,as-is,P1,G5,10,0,,
219522,TH-Ext-2023-011,116.19,100_2021_219522_M,QUALICUM_RIVER,2021,3,P1,D6,22.1,as-is,P1,H5,10,0,,
219384,TH-Ext-2023-011,115.65,100_2021_219384_M,QUALICUM_RIVER,2021,4,P1,F6,21.42,as-is,P1,A6,10,0,,
54363,TH-Ext-2023-005,115.48,9105_2017_54363_M,PUNTLEDGE_RIVER_fall,2017,2,P1,G6,21.51,as-is,P1,B6,10,0,,
240407,TH-Ext-2023-011,115.3,9105_2021_240407_M,PUNTLEDGE_RIVER_fall,2021,3,P1,H6,22.75,as-is,P1,C6,10,0,,
