"haplotype","age","n","pHap","pop"
"1",2,50,0.337837837837838,"Puntledge"
"1",3,57,0.331395348837209,"Puntledge"
"1",4,55,0.361842105263158,"Puntledge"
"2",2,34,0.22972972972973,"Puntledge"
"2",3,34,0.197674418604651,"Puntledge"
"2",4,24,0.157894736842105,"Puntledge"
"3",2,14,0.0945945945945946,"Puntledge"
"3",3,16,0.0930232558139535,"Puntledge"
"3",4,14,0.0921052631578947,"Puntledge"
"4",2,3,0.0202702702702703,"Puntledge"
"4",3,3,0.0174418604651163,"Puntledge"
"4",4,5,0.0328947368421053,"Puntledge"
"5",2,15,0.101351351351351,"Puntledge"
"5",3,16,0.0930232558139535,"Puntledge"
"5",4,11,0.0723684210526316,"Puntledge"
"6",2,9,0.0608108108108108,"Puntledge"
"6",3,17,0.0988372093023256,"Puntledge"
"6",4,13,0.0855263157894737,"Puntledge"
"7",2,8,0.0540540540540541,"Puntledge"
"7",3,15,0.0872093023255814,"Puntledge"
"7",4,14,0.0921052631578947,"Puntledge"
"8",2,15,0.101351351351351,"Puntledge"
"8",3,14,0.0813953488372093,"Puntledge"
"8",4,16,0.105263157894737,"Puntledge"
"1",2,14,0.0945945945945946,"Chilliwack"
"1",3,18,0.104651162790698,"Chilliwack"
"1",4,16,0.10958904109589,"Chilliwack"
"2",2,12,0.0810810810810811,"Chilliwack"
"2",3,6,0.0348837209302326,"Chilliwack"
"2",4,16,0.10958904109589,"Chilliwack"
"3",2,10,0.0675675675675676,"Chilliwack"
"3",3,4,0.0232558139534884,"Chilliwack"
"3",4,8,0.0547945205479452,"Chilliwack"
"4",2,38,0.256756756756757,"Chilliwack"
"4",3,54,0.313953488372093,"Chilliwack"
"4",4,18,0.123287671232877,"Chilliwack"
"5",2,20,0.135135135135135,"Chilliwack"
"5",3,10,0.0581395348837209,"Chilliwack"
"5",4,18,0.123287671232877,"Chilliwack"
"6",2,48,0.324324324324324,"Chilliwack"
"6",3,66,0.383720930232558,"Chilliwack"
"6",4,62,0.424657534246575,"Chilliwack"
"7",2,6,0.0405405405405405,"Chilliwack"
"7",3,14,0.0813953488372093,"Chilliwack"
"7",4,8,0.0547945205479452,"Chilliwack"
"1",2,24,0.184615384615385,"Qualicum"
"1",3,14,0.0769230769230769,"Qualicum"
"1",4,18,0.123287671232877,"Qualicum"
"2",2,28,0.215384615384615,"Qualicum"
"2",3,46,0.252747252747253,"Qualicum"
"2",4,34,0.232876712328767,"Qualicum"
"2",5,4,0.5,"Qualicum"
"3",2,42,0.323076923076923,"Qualicum"
"3",3,54,0.296703296703297,"Qualicum"
"3",4,44,0.301369863013699,"Qualicum"
"3",5,2,0.25,"Qualicum"
"5",2,6,0.0461538461538462,"Qualicum"
"5",3,20,0.10989010989011,"Qualicum"
"5",4,12,0.0821917808219178,"Qualicum"
"6",2,22,0.169230769230769,"Qualicum"
"6",3,28,0.153846153846154,"Qualicum"
"6",4,14,0.0958904109589041,"Qualicum"
"7",2,4,0.0307692307692308,"Qualicum"
"7",3,4,0.021978021978022,"Qualicum"
"7",4,6,0.0410958904109589,"Qualicum"
"8",2,2,0.0153846153846154,"Qualicum"
"8",3,6,0.032967032967033,"Qualicum"
"8",4,2,0.0136986301369863,"Qualicum"
"9",2,2,0.0153846153846154,"Qualicum"
"9",3,10,0.0549450549450549,"Qualicum"
"9",4,16,0.10958904109589,"Qualicum"
"9",5,2,0.25,"Qualicum"
