"fishID","age","jack"
"71372",4,0
"71192",4,0
"71535",3,0
"219688",4,0
"71021",3,0
"93756",3,0
"93892",3,0
"71288",2,1
"240213",4,0
"240229",2,1
"219218",4,0
"219398",4,0
"240220",4,0
"223764",3,0
"5866",4,0
"219416",3,0
"223361",3,0
"240248",4,0
"240170",4,0
"71276",3,0
"54344",2,1
"71421",3,0
"1233",2,1
"1290",4,0
"15468",2,1
"240203",2,1
"70971",3,0
"219455",4,0
"70949",4,0
"7424",2,1
"240233",2,1
"240155",3,0
"5781",4,0
"71564",4,0
"240207",2,1
"219384",4,0
"54363",2,1
"240407",3,0
"54364",2,1
"219624",3,0
"6004",3,0
"1346",3,0
"240206",2,1
"240425",2,1
"7422",2,1
"223686",2,1
"71304",3,0
"5838",3,0
"240310",2,1
"93793",3,0
"6074",3,0
"223803",3,0
"219568",4,0
"219283",4,0
"240236",2,1
"5759",3,0
"240363",2,1
"223016",4,0
"240221",4,0
"18483",2,1
"223320",3,0
"223700",4,0
"7438",2,1
"71080",3,0
"71308",4,0
"71293",3,0
"80437",4,0
"223768",2,1
"240018",4,0
"223181",3,0
"93710",4,0
"19795",3,0
"240115",3,0
"240005",3,0
"223734",4,0
"15925",2,1
"240230",2,1
"240295",4,0
"219368",4,0
"219532",4,0
"71018",3,0
"18288",3,0
"5724",4,0
"71135",3,0
"223818",2,1
"71437",3,0
"240380",3,0
"223805",2,1
"18278",3,0
"240367",3,0
"5752",2,1
"223011",4,0
"18102",3,0
"219302",3,0
"223625",3,0
"71393",3,0
"240231",2,1
"240406",3,0
"221453",3,0
"219348",4,0
"25214",4,0
"18159",3,0
"1275",3,0
"240294",4,0
"1394",3,0
"223707",3,0
"219583",4,0
"219374",3,0
"240416",3,0
"18147",3,0
"219479",3,0
"240387",2,1
"70984",4,0
"240210",2,1
"93935",4,0
"240214",4,0
"240171",4,0
"18295",2,1
"240440",4,0
"5779",3,0
"18296",4,0
"240195",4,0
"223315",4,0
"51662",4,0
"51864",2,1
"15829",3,0
"1001",4,0
"50210",3,0
"71399",3,0
"240208",2,1
"18239",4,0
"70917",3,0
"18342",3,0
"76546",3,0
"51650",3,0
"223454",4,0
"80429",2,1
"40579",2,1
"219896",4,0
"6434",4,0
"18489",4,0
"223280",4,0
"93742",4,0
"223677",3,0
"1392",4,0
"223393",3,0
"71118",3,0
"240424",2,1
"18354",3,0
"70963",3,0
"93983",3,0
"219707",3,0
"219615",3,0
"93716",4,0
"223298",2,1
"219233",4,0
"62",4,0
"223692",3,0
"1219",4,0
"18111",4,0
"93681",2,1
"1390",3,0
"93865",4,0
"223265",4,0
"51890",2,1
"223526",3,0
"93668",4,0
"240443",3,0
"54348",2,1
"240132",4,0
"19355",4,0
"5602",3,0
"93738",2,1
"18201",3,0
"223394",3,0
"223390",3,0
"18340",4,0
"5606",3,0
"19490",2,1
"219864",3,0
"240383",3,0
"221447",2,1
"1247",2,1
"5950",4,0
"71082",4,0
"223278",2,1
"221541",4,0
"223328",3,0
"219297",4,0
"5726",3,0
"51842",2,1
"5842",2,1
"18256",3,0
"240405",3,0
"219895",5,0
"6312",3,0
"93778",3,0
"6469",2,1
"223261",2,1
"6145",3,0
"1325",3,0
"18125",3,0
"1121",3,0
"219469",3,0
"93761",4,0
"223723",2,1
"219360",3,0
"54346",2,1
"40514",3,0
"93703",3,0
"5605",3,0
"240182",3,0
"240228",2,1
"54433",2,1
"219459",3,0
"7447",2,1
"7412",2,1
"18193",2,1
"54371",2,1
"54427",2,1
"18460",2,1
"25555",3,0
"93741",2,1
"93729",2,1
"19541",3,0
"5706",3,0
"18202",4,0
"1397-1",4,0
"1397-2",2,1
"54420",2,1
"18410",3,0
"223670",2,1
"93960",4,0
"1304",3,0
"51661",3,0
"1148",4,0
"18385",4,0
"93663",3,0
"221402",4,0
"25586",4,0
"40510",3,0
"6452",4,0
"15547",4,0
"5735",3,0
"18209",3,0
"15754",2,1
"5630",2,1
"76083",4,0
"18257",4,0
"93753",4,0
"5792",4,0
"51804",2,1
"7443",2,1
"93869",4,0
"223143",2,1
"223204",3,0
"1118",4,0
"223041",2,1
"93934",4,0
"19683",4,0
"5968",3,0
"19217",3,0
"6308",2,1
"1029",2,1
"7416",2,1
"93685",2,1
"93903",3,0
"93616",4,0
"70804",5,0
"1024",4,0
"5664",2,1
"18486",2,1
"240184",4,0
"93794",4,0
"18497",2,1
"5907",3,0
"15796",2,1
"7434",2,1
"1292",3,0
"54469",2,1
"7411",2,1
"1058",4,0
"76617",3,0
"7414",2,1
"1206",3,0
"1398",2,1
"223128",3,0
"18164",3,0
"76658",2,1
"51843",2,1
"18271",3,0
"25208",4,0
"18478",2,1
"18275",3,0
"1136",3,0
"80472",2,1
"19218",4,0
"5758",4,0
"7436",2,1
"223762",4,0
"6357",2,1
"76597",4,0
"18380",3,0
"6073",4,0
"1119",3,0
"80468",2,1
"7425",2,1
"59459",3,0
"7410",2,1
"1363",4,0
"93871",3,0
"18479",3,0
"51867",2,1
"5679",2,1
"18117",4,0
"15696",4,0
"18431",4,0
"18360",4,0
"19772",4,0
"80424",3,0
"80459",2,1
"25408",4,0
"15559",3,0
"1383",2,1
"1066",4,0
"25348",3,0
"80467",2,1
"16707",2,1
"240227",2,1
"7404",2,1
"93968",4,0
"219207",4,0
"7407",2,1
"18227",4,0
"25420",4,0
"1022",4,0
"19617",2,1
"15686",3,0
"1220",2,1
"15517",2,1
"219421",4,0
"223767",2,1
"93632",3,0
"54464",2,1
"219756",4,0
"15649",2,1
"76496",3,0
"18243",2,1
"19702",4,0
"7440",2,1
"25240",2,1
"76431",2,1
"15614",4,0
"1317",3,0
"15474",3,0
"7431",2,1
"18485",2,1
"76622",4,0
"5815",2,1
"54320",2,1
"1192",3,0
"7402",2,1
"18233",4,0
"223499",2,1
"16472",2,1
"25445",3,0
"18462",3,0
"93773",3,0
"6076",2,1
"1366",3,0
"76158",3,0
"1379",4,0
"76541",4,0
"18267",3,0
"54403",2,1
"7449",2,1
"51803",2,1
"223848",2,1
"6359",3,0
"76442",4,0
"25560",2,1
"54351",2,1
"40410",2,1
"1050",4,0
"51815",2,1
"93607",3,0
"18136",4,0
"1318",3,0
"25399",4,0
"7427",2,1
"54341",2,1
"19430",4,0
"6101",5,0
"1055",3,0
"5677",3,0
"6379",3,0
"76185",4,0
"16406",3,0
"63",3,0
"223636",2,1
"15938",4,0
"19277",4,0
"16350",5,0
"5811",3,0
"76412",3,0
"25344",4,0
"54432",2,1
"19400",3,0
"6062",2,1
"25385",3,0
"51670",3,0
"25679",2,1
"76681",3,0
"18127",3,0
"6132",3,0
"76584",3,0
"15887",4,0
"6193",4,0
"1252",2,1
"15944",4,0
"25513",2,1
"1310",3,0
"7406",2,1
"76655",4,0
"1296",3,0
"1198",4,0
"25219",3,0
"80427",2,1
"54423",2,1
"1369",3,0
"19607",3,0
"16454",2,1
"76590",3,0
"6288-2",3,0
"5830-1",3,0
"5830-2",4,0
"219836",4,0
"18435",2,1
"223627",2,1
"7435",2,1
"1344",3,0
"223847",2,1
"5722",2,1
"19257",3,0
"5846",3,0
"1154",4,0
"18224",2,1
"15935",2,1
"15939",4,0
"7453",2,1
"18454",2,1
"5963",3,0
"19429",3,0
"19308",4,0
"25524",3,0
"6041",3,0
"240124",4,0
"1194",3,0
"25465",4,0
"219782",4,0
"19503",3,0
"51665",4,0
"80433",3,0
"76411",2,1
"15658",2,1
"50190",2,1
"5824",4,0
"25666",3,0
"1070",3,0
"76430",2,1
"1077",2,1
"19324",4,0
"6147",3,0
"15848",4,0
"25268",4,0
"51801",2,1
"25649",4,0
"74499",3,0
"19486",2,1
"15563",3,0
"7460",2,1
"76242",3,0
"326",4,0
"25296",4,0
"6331",3,0
"7403",2,1
"219732",3,0
"3873",4,0
"16305",4,0
"5675",3,0
"40412",4,0
"76119",3,0
"25671",2,1
"6419",3,0
"76334",2,1
"16352",3,0
"1060",2,1
"328",2,1
"76669",4,0
"76591",4,0
"5731",3,0
"1102",3,0
"25572",4,0
"76045",3,0
"15659",3,0
"15543",3,0
"86",4,0
"15451",4,0
"7458",2,1
"25562",4,0
"25525",3,0
"334",2,1
"16701",3,0
"93673",3,0
"1105",3,0
"343",3,0
"18466",3,0
"74475",3,0
"16040",3,0
"25620",2,1
"74603",3,0
"18469",2,1
"80466",3,0
"80482",2,1
"76692",3,0
"19214",4,0
"19213",4,0
"25410",3,0
"221523",4,0
"25606",4,0
"25511",2,1
"1151",4,0
"6190",3,0
"221488",2,1
"19760",3,0
"25646",2,1
"25545",2,1
"25587",4,0
"74513",3,0
"76163",4,0
"16424",4,0
"15501",3,0
"74445",4,0
"15530",4,0
"25488",4,0
"19270",4,0
"25437",4,0
"15436",2,1
"51855",2,1
"335",2,1
"25514",2,1
"7432",2,1
"16332",4,0
"19525",2,1
"3898",3,0
"1074",3,0
"19333",3,0
"25676",2,1
"19604",4,0
"25622",4,0
"6058",3,0
"25430",4,0
"25664",4,0
"25598",3,0
"6411",3,0
"16342",4,0
"19629",3,0
"16311",4,0
"25292",3,0
"19650",3,0
"15453",2,1
"93827",3,0
"25575",3,0
"223648",4,0
"19451",4,0
"25383",3,0
"240123-BU",3,0
"54319-BU",2,1
"219616-BU",4,0
"54322",2,1
"19722-R",4,0
"54401",2,1
"240134",3,0
"219379",4,0
"223059",3,0
"51821",2,1
"19730-R",4,0
"40577-R",4,0
"40532-R",4,0
"40566-R",4,0
"93615",4,0
"54353",2,1
"6295-R",4,0
"50139-R",3,0
"5897",3,0
"5690",2,1
"25663",2,1
"1227",3,0
"1258",2,1
"54404-BU",2,1
"19741-R",2,1
"6293",4,0
"6043-R",4,0
"5993-BU",3,0
"15404",4,0
"19474-R",3,0
"19477-R",2,1
"19547-R",4,0
"19453-R",2,1
"19599-R",3,0
"19481-R",2,1
"19289-R",4,0
"6231-R",4,0
"50173-R",3,0
"19707-R",3,0
"19460-R",2,1
"51888",2,1
"5942-R",3,0
"19545-R",4,0
"19550-R",4,0
"6288-1-R",2,1
"19570-R",4,0
"5829-R",3,0
"19321-R",4,0
"6487-R",3,0
"5643",2,1
"74401",3,0
"50165-R",2,1
"25653",2,1
"1132",3,0
"240163",4,0
"219485",3,0
"240168",4,0
"70885",4,0
"70809",3,0
"219394",4,0
"94012",3,0
"240205",2,1
"240247",3,0
"70806",4,0
"70835",3,0
"25454",3,0
"18438",2,1
"223266",2,1
"240081",3,0
"18394",2,1
"1137",3,0
"5802",4,0
"240077",4,0
"93727",3,0
"219298",4,0
"6274",2,1
"6300",3,0
"240192",4,0
"240058",3,0
"18287",3,0
"240430",2,1
"18421",2,1
"240055",4,0
"54366",2,1
"16452",4,0
"6071",3,0
"16481",4,0
"25255",4,0
"1052",2,1
"74576",3,0
"74500",2,1
"25247",3,0
"76002",3,0
"19351",2,1
"16415",4,0
"54390",2,1
"223206",3,0
"71533",4,0
"219286",3,0
"240257",3,0
"223800",4,0
"54428",2,1
"15538",3,0
"18447",2,1
"93813",3,0
"219665",4,0
"1098",3,0
"93895",3,0
"18276",3,0
"15652",4,0
"6001",2,1
"93698",4,0
"5662",2,1
"25550",3,0
"18494-1",2,1
"18494-2",4,0
"1166",3,0
"18386",4,0
"6250",3,0
"25391",3,0
"7455",2,1
"25286",3,0
"19484",2,1
"16456",2,1
"19495",3,0
"7405",2,1
"74583",4,0
"6412",2,1
"16312",4,0
"19744-R",4,0
"6240",3,0
