"Sample","PC1"
"1001",-0.0544739577103065
"1022",-0.0602528526723892
"1024",-0.0586901180588573
"1029",-0.0364292147402515
"1050",-0.0537647597050787
"1052",-0.0587368079993344
"1055",-0.0494902554161026
"1058",-0.0518497629906923
"1060",-0.024610939742727
"1066",-0.00537655151723538
"1070",-0.0200303299684826
"1074",-0.00475525568435774
"1077",-0.0464140772712901
"1098",-0.0567308620353671
"1102",-0.0535502369857126
"1105",-0.0556051742120758
"1118",-0.0562493453460961
"1119",-0.055022243285591
"1121",-0.059355951455295
"1132",-0.05266993802431
"1136",-0.0571742828271125
"1137",-0.0575857807742974
"1148",-0.0588633821647063
"1151",-0.0558076743754162
"1154",-0.0529067897118458
"1166",-0.0426634528111414
"1192",-0.0552791233450923
"1194",-0.0390978348956827
"1198",-0.0370987749072414
"1206",-0.0476271954802535
"1219",-0.0571077950712257
"1220",-0.0530804839103883
"1227",-0.0491208389361549
"1233",-0.0538763765793075
"1247",-0.0484276556796329
"1252",-0.0534887985862182
"1258",-0.0513529116520577
"1275",-0.0525530704132859
"1290",-0.054280826993731
"1292",-0.0529882649510605
"1296",-0.0538903135973533
"1304",-0.0497160913719229
"1310",-0.0527109553434818
"1317",-0.0524796426742009
"1318",-0.0541508087123811
"1325",-0.0532579409497149
"1344",-0.058385473135051
"1346",-0.0509290682450326
"1363",-0.0558951435900893
"1366",-0.0528782676974999
"1369",-0.0595765657988933
"1379",-0.0494296192449467
"1383",-0.0465518045987548
"1390",-0.0523051757583687
"1392",-0.0498659186306052
"1394",-0.0527140417005013
"1397-1",-0.0461597004615163
"1397-2",-0.0533392267198606
"1398",-0.0560680901491911
"15404",-0.0555188202275553
"15436",-0.0465981098534745
"15451",-0.0546947318421646
"15453",-0.0537998045345599
"15468",-0.0602249770936208
"15474",-0.0511954333626595
"15501",-0.0494448613509443
"15517",-0.0603153217351658
"15530",-0.053265264940716
"15538",-0.0534682392550918
"15543",-0.0523647109413462
"15547",-0.0615506940102954
"15559",-0.037129725202735
"15563",-0.0563080498353577
"15614",-0.0554723107318218
"15649",-0.0594112608873209
"15652",-0.0447366788222578
"15658",-0.0533702113582412
"15659",-0.0540310340360097
"15686",-0.058860517494292
"15696",-0.0519420660126149
"15754",-0.0542367537200074
"15796",-0.0547842334776377
"15829",-0.0511433288125828
"15848",-0.0464131895363015
"15887",-0.0542025640094687
"15925",-0.0472986675056897
"15935",-0.0538680844279105
"15938",-0.0577053047892579
"15939",-0.0485513608074689
"15944",-0.0507840953537109
"16040",-0.0497231007110345
"16305",-0.0529015280197447
"16311",-0.0543138560709522
"16312",-0.0547409093873049
"16332",-0.0555667249562479
"16342",-0.0528243479681704
"16350",-0.044680764673227
"16352",-0.0478521413684223
"16406",-0.0558014458738682
"16415",-0.0628487511743897
"16424",-0.0561229607735024
"16452",-0.0500047005374939
"16454",-0.0550860945716188
"16456",-0.055837768467239
"16472",-0.0546551646608563
"16481",-0.0552230615857018
"16701",-0.0561037443364143
"16707",-0.0519799121400942
"18102",0.0959210795290616
"18111",0.0941112142144781
"18117",0.0922686894167045
"18125",0.0930011636771244
"18127",0.100653754886027
"18136",0.0938690811406462
"18147",0.102236048784143
"18159",0.0968760429821824
"18164",0.0939775550294411
"18201",0.101006017405718
"18202",0.0926797463266754
"18209",0.0974048899452143
"18224",0.0920319740293842
